UTM_Campaign;UTM_Content ;UTM_Term;Marketing Qualified Date;Account Owner Territory;Marketo Qualification Level;Marketo Interest Level;Unmatched;Hand Raiser;UTM_Medium
fy23-q3-amer-modern_customer_retention_guide;;;12/13/2022 12:00 AM;AMER Scale - West - 1;High;Low;0;0;paid-content-syndication
fy23-q3-amer-modern_customer_retention_guide;;;11/18/2022 12:00 AM;AMER Emerging Ent - West - 1;High;Low;0;0;paid-content-syndication
fy23-q4-amer-bau_smb;customer_engagement_ebook;undefined;11/28/2022 12:00 AM;SMB AMER - West;High;;1;1;paid-social
fy24-q1-amer-mobile_messaging_big;customer_engagement_review;;1/26/2023 12:00 AM;AMER Scale - West - 1;High;Low;0;0;paid-content-syndication
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||502608598011;11/16/2022 12:00 AM;SMB AMER - West;High;;0;1;paid-search
fy22-amer-email_marketing_platform;undefined;email_marketing_tool|email marketing tool|p|g|c||542343389165;1/8/2023 12:00 AM;;High;;1;1;paid-search
fy22-q1-amer-customer_engagement_review;customer_engagement_review;;12/15/2022 12:00 AM;AMER Emerging Ent - East - 2;High;Low;0;0;paid-content-syndication
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_email_marketing|braze email marketing|e|g|c||587080375624#Cj0KCQiA1NebBhDDARIsAANiDD1X3x8DTyabgOv4RYIOJdsCKjE8DoxbNWrUOOZjnNDZw-r7HqntjPcaAruyEALw_wcB;11/17/2022 1:20 PM;SMB AMER - East;Medium;Low;1;1;paid-search
fy23-q4-amer-remarketing_allsite;inspiration_guide;undefined;1/20/2023 12:00 AM;AMER Scale - Central;Low;Low;0;0;paid-social
Acq_M_Engagement-Lifecycle_NA*2019-CustEng-eBook;undefined;lifecycle-marketing_pm|lifecycle marketing data|p|g|m||379480664589;12/30/2022 12:00 AM;AMER Emerging Ent - West - 2;High;;0;0;paid-search
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||502608598011#CjwKCAjwwL6aBhBlEiwADycBIM-_X6T_vlVcDiVixSUouAAzoq6PHYBSO7QKiqnlqfAB0rUqrI99whoCJrIQAvD_BwE;11/17/2022 12:00 AM;AMER Emerging Ent - East - 2;Medium;;0;0;paid-search
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||587080375402;11/28/2022 12:00 AM;AMER Emerging Ent - West - 1;Medium;;0;1;paid-search
fy23-q4-amer-remarketing_allsite_connect;connect_with_sales;undefined;1/17/2023 12:00 AM;;Medium;Low;1;1;paid-social
fy22-amer-comp_direct_competitors_iterable;undefined;|iterable vs braze|e|g|c||590778441514;1/11/2023 12:00 AM;AMER Scale - West - 1;Medium;Low;0;1;paid-search
fy22-amer-email_marketing_platform;undefined;email_marketing_agency|email marketing agency|e|g|c||587080375810;12/21/2022 12:00 AM;;High;;1;1;paid-search
fy23-q4-amer-remarketing_allsite;inspiration_guide;undefined;1/21/2023 12:00 AM;AMER Emerging Ent - East - 2;Medium;Low;0;0;paid-social
fy22-amer-email_marketing_platform;;email_marketing_services|email marketing services|p|g|c||516472499212#Cj0KCQiA99ybBhD9ARIsALvZavVYsnpwtvWxgADrGCWiNQfomJsA2b7bu3Nj557qaktiw1ydw21p4ioaAvYyEALw_wcB;11/18/2022 3:07 PM;;Medium;;1;1;paid-search
fy22-amer-email_marketing_platform;undefined;email_marketing_agency|email marketing agency|p|g|m||587080375810;12/23/2022 12:00 AM;;High;;1;1;paid-search
fy23-q4-amer-retail_inspiration_guide;retention_guide;;12/9/2022 12:00 AM;AMER Enterprise - East;High;Low;0;0;paid-content-syndication
fy23-q4-amer-remarketing_allsite;inspiration_guide;undefined;1/9/2023 12:00 AM;AMER Enterprise - West;Medium;;0;0;paid-social
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||587080375402#CjwKCAjwh4ObBhAzEiwAHzZYUzncmXpvpWQzf-y-UpiEHj264gOm5m0BKZK4ae2TbB7z2j87iPq-qxoCi2YQAvD_BwE;11/8/2022 12:00 AM;AMER Scale - Central;High;Low;0;0;paid-search
fy23-q4-amer-best_in_class_email_guide;;;1/3/2023 12:00 AM;AMER Enterprise - Strat;High;Low;0;0;paid-content-syndication
fy24-q1-amer-finserv_inspiration_guide;;;12/16/2022 12:00 AM;AMER Emerging Ent - West - 2;High;Low;0;0;paid-content-syndication
fy23-q4-amer-retail_inspiration_guide;;;1/20/2023 12:00 AM;AMER Enterprise - Central;High;Low;0;0;paid-content-syndication
fy22-amer-email_marketing;undefined;email_marketing|email marketing|p|g|c||542343389210;1/29/2023 12:00 AM;;High;;1;1;paid-search
Acq_M_Engagement-Lifecycle_NA*2019-CustEng-eBook;undefined;lifecycle-marketing_pm|lifecycle marketing|p|g|c||379480664589;12/6/2022 12:00 AM;SMB AMER - East;High;Low;0;0;paid-search
fy23-q4-amer-best_in_class_email_guide;;;12/16/2022 12:00 AM;AMER Emerging Ent - West - 2;High;Low;0;0;paid-content-syndication
fy22-amer-email_marketing_platform;mt_email_marketing_platform_ad_copy_fy21;email_marketing_agency|email marketing agency|e|g|c||587080375678;1/20/2023 12:00 AM;AMER Scale - Central;Medium;;1;1;paid-search
fy23-q4-amer-best_in_class_email_guide;;;1/12/2023 12:00 AM;AMER Emerging Ent - East - 2;High;Low;0;0;paid-content-syndication
fy22-amer-email_marketing_platform;undefined;platform_for_email_marketing|email service provider|e|g|c||542343389186;12/20/2022 12:00 AM;SMB AMER - West;High;;1;1;paid-search
fy22-amer-email_marketing_platform;undefined;platform_for_email_marketing|email service provider|e|g|c||542343389186;11/7/2022 12:00 AM;;Medium;Low;1;1;paid-search
fy22-amer-marketing_automation;mt_marketing_automation_ad_copy_fy22;|marketing automation|p|g|c||511889409827;11/9/2022 12:00 AM;SMB AMER - East;Medium;;1;1;paid-search
fy22-amer-email_marketing_platform;undefined;email_marketing_services|email marketing services|p|g|c||516472499212;1/16/2023 12:00 AM;SMB AMER - East;High;;1;1;paid-search
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_push_notifications|braze push notifications|e|g|c||587080375384;12/8/2022 12:00 AM;SMB AMER - West;High;High;0;0;paid-search
fy22-amer-email_marketing;undefined;email_marketing|email marketing|p|g|c||542343389210;11/2/2022 12:00 AM;SMB AMER - West;Medium;Low;0;1;paid-search
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||502608598011;11/7/2022 12:00 AM;SMB AMER - Central;Medium;;1;1;paid-search
fy23-q4-amer-modern_customer_retention_guide;;;12/12/2022 12:00 AM;AMER Emerging Ent - West - 2;High;Low;0;0;paid-content-syndication
fy23-q4-amer-bau_groups;retention_guide;undefined;1/30/2023 12:00 AM;AMER Emerging Ent - West - 1;Medium;Low;0;0;paid-social
fy24-q4-amer-email_big;;;12/13/2022 12:00 AM;AMER Scale - Central;Medium;Low;0;0;paid-content-syndication
fy22-amer-email_marketing_platform;;email_marketing_services|email marketing services|p|g|c||516472499212#Cj0KCQiA1NebBhDDARIsAANiDD1VXA6akJu0_XWONayCHqCQbyW2qSDjJbG7SgzBgV3gnxIU9kZZgFwaAuyhEALw_wcB;11/17/2022 1:07 PM;;High;;1;1;paid-search
fy23-q-amer-retail_customer_engagement_review;;;11/9/2022 12:00 AM;AMER Emerging Ent - West - 1;High;Medium;0;0;paid-content-syndication
fy23-q4-amer-bau_ccmskill;customer_engagement_ebook;undefined;1/13/2023 12:00 AM;SMB AMER - West;Medium;;0;0;paid-social
fy23-q4-amer-retention_campaign;undefined;undefined;12/30/2022 12:00 AM;SMB AMER - Central;High;Low;0;0;paid-display-ads
fy23-q2-amer-mobile_marketing_guide;;;12/10/2022 12:00 AM;AMER Emerging Ent - West - 1;High;Low;0;0;paid-content-syndication
fy23-q3-amer-bau_engint;customer_engagement_ebook;undefined;11/2/2022 12:00 AM;;High;Low;1;1;paid-social
fy23-q4-amer-best_in_class_email_guide;;;1/4/2023 12:00 AM;AMER Enterprise - West;High;Low;0;0;paid-content-syndication
fy23-q4-amer-retail_inspiration_guide;;;1/25/2023 12:00 AM;AMER Enterprise - Strat;High;Low;0;0;paid-content-syndication
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||587080375402#EAIaIQobChMItrzTg4es_AIVlhbUAR3sxQEAEAAYASAAEgKTZPD_BwE;1/3/2023 2:12 PM;AMER Emerging Ent - West - 1;High;Low;0;1;paid-search
fy23-q4-amer-customer_engagement_review_qsr;;;1/25/2023 12:00 AM;AMER Emerging Ent - West - 1;High;Low;0;1;paid-content-syndication
fy23-q4-amer-customer_engagement_review_canada;;;1/26/2023 12:00 AM;AMER Emerging Ent - West - 2;Medium;Low;0;0;paid-content-syndication
fy23-q4-amer-customer_engagement_review_canada;;;12/15/2022 12:00 AM;AMER Emerging Ent - West - 2;High;;0;0;paid-content-syndication
fy22-amer-marketing_channels;undefined;drip_email|drip email|p|g|c||516472499983;11/16/2022 12:00 AM;;Medium;Low;1;1;paid-search
fy22-amer-email_marketing_platform;;software_for_email_marketing|platform for email marketing|p|g|m||542343389198#CjwKCAiAjs2bBhACEiwALTBWZW2WgVJyuNrWVhJ1gpSTwMOhY-TQS6bEL3VIOSSiAPTMkNkyxft-LhoC8tsQAvD_BwE;11/15/2022 2:06 PM;;Low;;1;1;paid-search
fy22-amer-email_marketing;undefined;email_marketing|email marketing|p|g|m||542343389210;1/24/2023 12:00 AM;;High;;1;1;paid-search
fy23-q2-amer-mobile_marketing_guide;customer_engagement_review;;12/1/2022 12:00 AM;AMER Emerging Ent - West - 1;High;Low;0;0;paid-content-syndication
fy22-amer-marketing_automation;mt_marketing_automation_ad_copy_fy22;|marketing automation|p|g|c||511889409827;1/25/2023 12:00 AM;;Medium;;1;1;paid-search
fy24-q4-amer-2023_consumer_research_report;;;12/9/2022 12:00 AM;AMER Scale - East - 1;Medium;Low;0;0;paid-content-syndication
fy23-q4-amer-bau_ccmskill;retention_guide;undefined;1/4/2023 12:00 AM;SMB AMER - East;Medium;;0;0;paid-social
fy23-q4-amer-best_in_class_email_guide;;;1/9/2023 12:00 AM;AMER Enterprise - West;High;Medium;0;0;paid-content-syndication
fy22-q1-amer-customer_engagement_review;customer_engagement_review;customer_engagement_model|customer engagement model|e|g|m||499449654215;1/28/2023 12:00 AM;AMER Enterprise - East;Low;Low;0;0;paid-search
fy23-q-amer-retail_customer_engagement_review;;;11/18/2022 12:00 AM;AMER Enterprise - East;High;Low;0;0;paid-content-syndication
fy22-amer-email_marketing_platform;;email_marketing_tool|email marketing tool|p|g|c||542343389162#Cj0KCQiAg_KbBhDLARIsANx7wAw3eRITEhesm57IbGmjDLWwukfjGe0k63j3HJWduxGJiGXq8NVetVEaAtVyEALw_wcB;11/22/2022 3:02 PM;;Low;;1;1;paid-search
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_email_marketing|braze email|e|g|c||502656816637#CjwKCAiAwc-dBhA7EiwAxPRylP-JNytn-aqXRktNZlJrcCDYXRe4Ptp_iGorgTh9oWi0_a7YA7foNBoCycMQAvD_BwE;1/3/2023 3:55 PM;SMB AMER - Central;High;;1;1;paid-search
fy23-q4-amer-enterprise_salesforce;undefined;|pardot|e|g|c||644712757821;1/23/2023 12:00 AM;SMB AMER - Central;Medium;;1;1;paid-search
fy23-q-amer-retail_customer_engagement_review;Braze_EM_KW;braze|e|g|c|1t1|379494875677;12/9/2022 12:00 AM;AMER Enterprise - East;High;Low;0;1;paid-content-syndication
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_push_notifications|braze push notifications|e|g|c||502656816856;12/19/2022 12:00 AM;SMB AMER - East;High;;0;1;paid-search
fy23-q-amer-retail_customer_engagement_review;;;11/9/2022 12:00 AM;AMER Enterprise - East;High;Medium;0;0;paid-content-syndication
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_pm_kw|braze|p|g|c||502699581794;12/3/2022 12:00 AM;;Medium;;1;1;paid-search
fy23-q4-amer-bau_ccmskill;measurement_guide;undefined;1/22/2023 12:00 AM;AMER Enterprise - Strat;Medium;Low;0;0;paid-social
fy23-q4-amer-retail_inspiration_guide;;;1/3/2023 12:00 AM;AMER Enterprise - Strat;High;Low;0;0;paid-content-syndication
fy23-q-amer-retail_customer_engagement_review;;;11/23/2022 12:00 AM;AMER Emerging Ent - West - 2;High;Low;0;0;paid-content-syndication
fy23-q4-amer-bau_groups;retention_guide;undefined;1/31/2023 12:00 AM;AMER Scale - East - 1;Medium;Low;0;0;paid-social
fy23-q2-amer-shopify_guide;;;11/9/2022 12:00 AM;AMER Emerging Ent - West - 1;Medium;High;0;0;paid-content-syndication
fy23-q3-amer-modern_customer_retention_guide;;;1/5/2023 12:00 AM;AMER Emerging Ent - West - 1;High;Low;0;0;paid-content-syndication
fy23-q4-amer-best_in_class_email_guide;;;1/9/2023 12:00 AM;AMER Emerging Ent - West - 1;High;Medium;0;0;paid-content-syndication
fy24-q3-amer-customer_engagement_review;;;1/12/2023 12:00 AM;AMER Enterprise - Central;High;Low;0;0;paid-content-syndication
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||587080375402;1/31/2023 12:00 AM;AMER Emerging Ent - West - 1;High;Low;0;0;paid-search
fy23-q4-amer-best_in_class_email_guide;retail_customer_engagement_review;;12/16/2022 12:00 AM;AMER Emerging Ent - West - 1;High;Low;0;0;paid-content-syndication
fy22-amer-email_marketing;undefined;email_marketing|email marketing|p|g|c||542343389210;1/18/2023 12:00 AM;SMB AMER - Central;Medium;;1;1;paid-search
fy22-amer-push_platforms;mt_push_platforms_ad_copy_fy26;|push notifications app|p|g|c||618426193864;1/31/2023 12:00 AM;SMB AMER - Central;High;Low;1;1;paid-search
fy22-q1-amer-customer_engagement_review;customer_engagement_review;customer_engagement_platform|customer engagement platform|p|g|c||499462873394;1/11/2023 12:00 AM;AMER Enterprise - East;Medium;;0;0;paid-search
fy23-q4-amer-customer_engagement_review_canada;;;1/9/2023 12:00 AM;AMER Emerging Ent - West - 1;High;Low;0;0;paid-content-syndication
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||502608598011#CjwKCAiAoL6eBhA3EiwAXDom5jDxSpWYHxk_M_14ZiFb_G579_gEzWMWOcB_A-wPA7gFd3UpDUIoQRoCcikQAvD_BwE;1/24/2023 4:26 PM;;Medium;;1;1;paid-search
fy23-q4-amer-customer_engagement_review_canada;;;12/28/2022 12:00 AM;AMER Emerging Ent - West - 1;Medium;Low;0;0;paid-content-syndication
fy23-q4-amer-customer_engagement_review_qsr;;;1/12/2023 12:00 AM;AMER Enterprise - Central;High;Low;0;0;paid-content-syndication
fy23-q4-amer-customer_engagement_review_canada;;;12/13/2022 12:00 AM;AMER Enterprise - East;High;Low;0;0;paid-content-syndication
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||587080375402;12/29/2022 12:00 AM;;High;;1;1;paid-search
fy23-q4-amer-modern_customer_retention_guide;;;1/3/2023 12:00 AM;AMER Emerging Ent - East - 2;High;Low;0;0;paid-content-syndication
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_crm|braze crm|p|g|c||587080375348;11/18/2022 12:00 AM;AMER Enterprise - Strat;High;Low;0;1;paid-search
fy22-amer-comp_direct_competitors;mt_bronto_ad_copy_fy22;bronto|onesignal|e|g|c||615917132792#Cj0KCQiAlKmeBhCkARIsAHy7WVtITg64ascpOMcbO74Um7fTCi0QehgeOLFerB8oDSuE71bBJzfHr-gaAoJKEALw_wcB;1/20/2023 11:46 AM;AMER Scale - East - 1;High;;1;1;paid-search
fy22-amer-email_marketing_platform;;email_marketing_services|email marketing services|e|g|c||516472499212#CjwKCAjw5P2aBhAlEiwAAdY7dBTTrYpyI3FFWvXInZN_9UFvHDs9MztLGHML2RZ6Di38jZUKUyitQBoCXTUQAvD_BwE;11/1/2022 1:13 PM;;Low;;1;1;paid-search
fy23-q4-amer-grow_with_braze_sf;;;1/18/2023 12:00 AM;AMER Scale - West - 1;Medium;;0;0;paid-social
fy23-q4-amer-retail_inspiration_guide;;;1/3/2023 12:00 AM;AMER Enterprise - Strat;High;Low;0;0;paid-content-syndication
fy23-q4-amer-modern_customer_retention_guide;;;1/20/2023 12:00 AM;AMER Enterprise - Strat;High;Low;0;0;paid-content-syndication
fy22-amer-email_marketing_platform;undefined;platform_for_email_marketing|email service provider|p|g|m||542343389186;1/16/2023 12:00 AM;AMER Scale - Central;High;;0;1;paid-search
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||587080375402;1/9/2023 12:00 AM;AMER Emerging Ent - East - 2;Medium;;0;1;paid-search
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||587080375402;1/12/2023 12:00 AM;;High;;1;1;paid-search
fy22-amer-email_marketing_platform;undefined;software_for_email_marketing|software for email marketing|p|g|c||542343389030;12/5/2022 12:00 AM;;Low;;1;1;paid-search
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||587080375402;1/11/2023 12:00 AM;;Low;;1;1;paid-search
fy23-q1-amer-closed_lost_campaign;customer_engagement_review;;1/26/2023 12:00 AM;AMER Emerging Ent - West - 1;High;Low;0;0;paid-content-syndication
fy24-q4-amer-email_big;travel_industry_report;;12/13/2022 12:00 AM;AMER Enterprise - West;High;Low;0;0;paid-content-syndication
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||587080375402;11/14/2022 12:00 AM;AMER Emerging Ent - East - 2;Medium;;1;1;paid-search
fy24-q1-amer-retail_inspiration_guide;;;12/9/2022 12:00 AM;AMER Enterprise - Central;High;Low;0;0;paid-content-syndication
fy22-amer-email_marketing_platform;;automated_email_marketing_platform|automated email marketing platform|p|g|c||516472499032#Cj0KCQjw--2aBhD5ARIsALiRlwA3_3NLms7Ycigz8AWkI8E_2dz5z5ZM8qQ3S4q1puLt0bDRUDvKOjIaAvA0EALw_wcB;11/16/2022 11:43 AM;;High;;1;1;paid-search
fy22-amer-email_marketing_platform;;email_marketing_platforms|email marketing platforms|p|g|c||516472499200#EAIaIQobChMI96HLzPvE-wIVbm1vBB1FNAw3EAAYAiAAEgL3v_D_BwE;11/23/2022 2:11 PM;;Low;;1;1;paid-search
fy22-amer-comp_direct_competitors;mt_competitor_ad_copy_fy22;clevertap_alternative|clevertap alternative|e|g|c||572979185458;1/25/2023 12:00 AM;SMB AMER - East;High;Low;0;1;paid-search
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_integrations|braze integrations|e|g|c||587080375642#Cj0KCQiAsdKbBhDHARIsANJ6-jeFcxKiniGkgpf-_KFBUsTWZ_VKVszicvV-vZFJE8ybjCZZCi1RqDUaAmVfEALw_wcB;11/16/2022 5:34 PM;;Low;;1;1;paid-search
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_email_marketing|braze email|e|g|c||502656816637;1/27/2023 12:00 AM;SMB AMER - AM;Medium;Low;1;1;paid-search
fy22-amer-email_marketing_platform;undefined;software_for_email_marketing|software for email marketing|e|g|c||542343389030;1/26/2023 12:00 AM;;High;Low;1;1;paid-search
Acq_M_Engagement-Lifecycle_NA*2019-CustEng-eBook;undefined;customer-lifecycle_pm|customer lifecycle stages|p|g|c||379480664574;12/10/2022 12:00 AM;AMER Emerging Ent - East - 2;High;Low;0;0;paid-search
fy23-q4-amer-remarketing_allsite;inspiration_guide;undefined;12/13/2022 12:00 AM;AMER Emerging Ent - West - 1;High;;0;0;paid-social
